drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged,rationale
INFLIXIMAB,Spinal cord injury cervical,16,16.0,9.61,26.63,15.99,207.99,True,"INFLIXIMAB was reported with 'Spinal cord injury cervical' in 16 cases. This combination occurs 16.0x more often than expected (95% CI: 9.61-26.63, entirely above 1, meaning the result is statistically significant). PRR=15.99 (≥2 threshold met), chi2=207.99 (≥4 threshold met)."
TYMLOS,Toothache,59,5.41,4.18,7.01,5.41,206.49,True,"TYMLOS was reported with 'Toothache' in 59 cases. This combination occurs 5.41x more often than expected (95% CI: 4.18-7.01, entirely above 1, meaning the result is statistically significant). PRR=5.41 (≥2 threshold met), chi2=206.49 (≥4 threshold met)."
TYMLOS,Heart rate irregular,51,5.98,4.53,7.9,5.98,205.25,True,"TYMLOS was reported with 'Heart rate irregular' in 51 cases. This combination occurs 5.98x more often than expected (95% CI: 4.53-7.9, entirely above 1, meaning the result is statistically significant). PRR=5.98 (≥2 threshold met), chi2=205.25 (≥4 threshold met)."
METHOTREXATE,Eosinophilic pleural effusion,6,46.49,18.56,116.4,46.48,202.94,True,"METHOTREXATE was reported with 'Eosinophilic pleural effusion' in 6 cases. This combination occurs 46.49x more often than expected (95% CI: 18.56-116.4, entirely above 1, meaning the result is statistically significant). PRR=46.48 (≥2 threshold met), chi2=202.94 (≥4 threshold met)."
ASPIRIN,Neonatal asphyxia,11,22.71,12.12,42.57,22.71,202.14,True,"ASPIRIN was reported with 'Neonatal asphyxia' in 11 cases. This combination occurs 22.71x more often than expected (95% CI: 12.12-42.57, entirely above 1, meaning the result is statistically significant). PRR=22.71 (≥2 threshold met), chi2=202.14 (≥4 threshold met)."
RITUXIMAB,Drug effective for unapproved indication,62,5.16,4.0,6.65,5.15,199.75,True,"RITUXIMAB was reported with 'Drug effective for unapproved indication' in 62 cases. This combination occurs 5.16x more often than expected (95% CI: 4.0-6.65, entirely above 1, meaning the result is statistically significant). PRR=5.15 (≥2 threshold met), chi2=199.75 (≥4 threshold met)."
RITUXIMAB,Post transplant lymphoproliferative disorder,40,7.12,5.18,9.79,7.12,199.5,True,"RITUXIMAB was reported with 'Post transplant lymphoproliferative disorder' in 40 cases. This combination occurs 7.12x more often than expected (95% CI: 5.18-9.79, entirely above 1, meaning the result is statistically significant). PRR=7.12 (≥2 threshold met), chi2=199.5 (≥4 threshold met)."
PREDNISONE,Diffuse large B-cell lymphoma recurrent,40,7.17,5.2,9.9,7.17,196.99,True,"PREDNISONE was reported with 'Diffuse large B-cell lymphoma recurrent' in 40 cases. This combination occurs 7.17x more often than expected (95% CI: 5.2-9.9, entirely above 1, meaning the result is statistically significant). PRR=7.17 (≥2 threshold met), chi2=196.99 (≥4 threshold met)."
RITUXIMAB,Arrhythmogenic right ventricular dysplasia,9,28.25,13.75,58.04,28.25,194.8,True,"RITUXIMAB was reported with 'Arrhythmogenic right ventricular dysplasia' in 9 cases. This combination occurs 28.25x more often than expected (95% CI: 13.75-58.04, entirely above 1, meaning the result is statistically significant). PRR=28.25 (≥2 threshold met), chi2=194.8 (≥4 threshold met)."
TYMLOS,Injection site inflammation,17,13.91,8.51,22.74,13.9,190.39,True,"TYMLOS was reported with 'Injection site inflammation' in 17 cases. This combination occurs 13.91x more often than expected (95% CI: 8.51-22.74, entirely above 1, meaning the result is statistically significant). PRR=13.9 (≥2 threshold met), chi2=190.39 (≥4 threshold met)."
DUPIXENT,Acne,108,3.55,2.93,4.3,3.54,190.35,True,"DUPIXENT was reported with 'Acne' in 108 cases. This combination occurs 3.55x more often than expected (95% CI: 2.93-4.3, entirely above 1, meaning the result is statistically significant). PRR=3.54 (≥2 threshold met), chi2=190.35 (≥4 threshold met)."
ASPIRIN,Foetal heart rate deceleration abnormality,11,21.22,11.35,39.67,21.21,189.01,True,"ASPIRIN was reported with 'Foetal heart rate deceleration abnormality' in 11 cases. This combination occurs 21.22x more often than expected (95% CI: 11.35-39.67, entirely above 1, meaning the result is statistically significant). PRR=21.21 (≥2 threshold met), chi2=189.01 (≥4 threshold met)."
PREDNISONE,Post transplant lymphoproliferative disorder,48,5.99,4.47,8.02,5.99,187.18,True,"PREDNISONE was reported with 'Post transplant lymphoproliferative disorder' in 48 cases. This combination occurs 5.99x more often than expected (95% CI: 4.47-8.02, entirely above 1, meaning the result is statistically significant). PRR=5.99 (≥2 threshold met), chi2=187.18 (≥4 threshold met)."
INFLIXIMAB,Rectovaginal septum abscess,6,39.39,16.39,94.63,39.38,187.03,True,"INFLIXIMAB was reported with 'Rectovaginal septum abscess' in 6 cases. This combination occurs 39.39x more often than expected (95% CI: 16.39-94.63, entirely above 1, meaning the result is statistically significant). PRR=39.38 (≥2 threshold met), chi2=187.03 (≥4 threshold met)."
DUPIXENT,Eye inflammation,49,5.87,4.4,7.83,5.87,186.76,True,"DUPIXENT was reported with 'Eye inflammation' in 49 cases. This combination occurs 5.87x more often than expected (95% CI: 4.4-7.83, entirely above 1, meaning the result is statistically significant). PRR=5.87 (≥2 threshold met), chi2=186.76 (≥4 threshold met)."
ASPIRIN,NSAID exacerbated respiratory disease,16,14.55,8.74,24.23,14.55,186.42,True,"ASPIRIN was reported with 'NSAID exacerbated respiratory disease' in 16 cases. This combination occurs 14.55x more often than expected (95% CI: 8.74-24.23, entirely above 1, meaning the result is statistically significant). PRR=14.55 (≥2 threshold met), chi2=186.42 (≥4 threshold met)."
ASPIRIN,Carotid arteriosclerosis,23,10.33,6.78,15.73,10.32,182.9,True,"ASPIRIN was reported with 'Carotid arteriosclerosis' in 23 cases. This combination occurs 10.33x more often than expected (95% CI: 6.78-15.73, entirely above 1, meaning the result is statistically significant). PRR=10.32 (≥2 threshold met), chi2=182.9 (≥4 threshold met)."
DUPIXENT,Periorbital inflammation,7,38.24,15.97,91.56,38.24,182.76,True,"DUPIXENT was reported with 'Periorbital inflammation' in 7 cases. This combination occurs 38.24x more often than expected (95% CI: 15.97-91.56, entirely above 1, meaning the result is statistically significant). PRR=38.24 (≥2 threshold met), chi2=182.76 (≥4 threshold met)."
TYMLOS,Urine output increased,15,15.03,8.9,25.41,15.03,182.73,True,"TYMLOS was reported with 'Urine output increased' in 15 cases. This combination occurs 15.03x more often than expected (95% CI: 8.9-25.41, entirely above 1, meaning the result is statistically significant). PRR=15.03 (≥2 threshold met), chi2=182.73 (≥4 threshold met)."
METHOTREXATE,Pachymeningitis,8,28.72,13.47,61.27,28.72,179.1,True,"METHOTREXATE was reported with 'Pachymeningitis' in 8 cases. This combination occurs 28.72x more often than expected (95% CI: 13.47-61.27, entirely above 1, meaning the result is statistically significant). PRR=28.72 (≥2 threshold met), chi2=179.1 (≥4 threshold met)."
DUPIXENT,Injection site discolouration,49,5.68,4.26,7.58,5.68,178.7,True,"DUPIXENT was reported with 'Injection site discolouration' in 49 cases. This combination occurs 5.68x more often than expected (95% CI: 4.26-7.58, entirely above 1, meaning the result is statistically significant). PRR=5.68 (≥2 threshold met), chi2=178.7 (≥4 threshold met)."
PREDNISONE,Tubulointerstitial nephritis and uveitis syndrome,8,31.81,14.23,71.11,31.8,177.09,True,"PREDNISONE was reported with 'Tubulointerstitial nephritis and uveitis syndrome' in 8 cases. This combination occurs 31.81x more often than expected (95% CI: 14.23-71.11, entirely above 1, meaning the result is statistically significant). PRR=31.8 (≥2 threshold met), chi2=177.09 (≥4 threshold met)."
INFLIXIMAB,Bartholin's abscess,6,36.92,15.44,88.31,36.92,176.57,True,"INFLIXIMAB was reported with 'Bartholin's abscess' in 6 cases. This combination occurs 36.92x more often than expected (95% CI: 15.44-88.31, entirely above 1, meaning the result is statistically significant). PRR=36.92 (≥2 threshold met), chi2=176.57 (≥4 threshold met)."
INFLIXIMAB,Pyoderma gangrenosum,23,9.96,6.55,15.14,9.95,176.33,True,"INFLIXIMAB was reported with 'Pyoderma gangrenosum' in 23 cases. This combination occurs 9.96x more often than expected (95% CI: 6.55-15.14, entirely above 1, meaning the result is statistically significant). PRR=9.95 (≥2 threshold met), chi2=176.33 (≥4 threshold met)."
FOLIC ACID,Drug clearance increased,6,37.29,15.35,90.6,37.28,172.14,True,"FOLIC ACID was reported with 'Drug clearance increased' in 6 cases. This combination occurs 37.29x more often than expected (95% CI: 15.35-90.6, entirely above 1, meaning the result is statistically significant). PRR=37.28 (≥2 threshold met), chi2=172.14 (≥4 threshold met)."
RITUXIMAB,Follicular lymphoma,20,11.22,7.11,17.72,11.22,171.56,True,"RITUXIMAB was reported with 'Follicular lymphoma' in 20 cases. This combination occurs 11.22x more often than expected (95% CI: 7.11-17.72, entirely above 1, meaning the result is statistically significant). PRR=11.22 (≥2 threshold met), chi2=171.56 (≥4 threshold met)."
RITUXIMAB,Tumour lysis syndrome,51,5.3,4.01,7.01,5.3,170.97,True,"RITUXIMAB was reported with 'Tumour lysis syndrome' in 51 cases. This combination occurs 5.3x more often than expected (95% CI: 4.01-7.01, entirely above 1, meaning the result is statistically significant). PRR=5.3 (≥2 threshold met), chi2=170.97 (≥4 threshold met)."
PREDNISONE,Nocardiosis,22,10.53,6.78,16.38,10.53,170.19,True,"PREDNISONE was reported with 'Nocardiosis' in 22 cases. This combination occurs 10.53x more often than expected (95% CI: 6.78-16.38, entirely above 1, meaning the result is statistically significant). PRR=10.53 (≥2 threshold met), chi2=170.19 (≥4 threshold met)."
FOLIC ACID,Cleft palate,25,9.08,6.07,13.59,9.08,170.12,True,"FOLIC ACID was reported with 'Cleft palate' in 25 cases. This combination occurs 9.08x more often than expected (95% CI: 6.07-13.59, entirely above 1, meaning the result is statistically significant). PRR=9.08 (≥2 threshold met), chi2=170.12 (≥4 threshold met)."
PREDNISONE,Anal fissure,64,4.56,3.55,5.87,4.56,169.51,True,"PREDNISONE was reported with 'Anal fissure' in 64 cases. This combination occurs 4.56x more often than expected (95% CI: 3.55-5.87, entirely above 1, meaning the result is statistically significant). PRR=4.56 (≥2 threshold met), chi2=169.51 (≥4 threshold met)."
RITUXIMAB,Organising pneumonia,23,9.75,6.38,14.89,9.75,168.15,True,"RITUXIMAB was reported with 'Organising pneumonia' in 23 cases. This combination occurs 9.75x more often than expected (95% CI: 6.38-14.89, entirely above 1, meaning the result is statistically significant). PRR=9.75 (≥2 threshold met), chi2=168.15 (≥4 threshold met)."
RITUXIMAB,Diffuse large B-cell lymphoma refractory,24,9.39,6.21,14.21,9.39,167.91,True,"RITUXIMAB was reported with 'Diffuse large B-cell lymphoma refractory' in 24 cases. This combination occurs 9.39x more often than expected (95% CI: 6.21-14.21, entirely above 1, meaning the result is statistically significant). PRR=9.39 (≥2 threshold met), chi2=167.91 (≥4 threshold met)."
ASPIRIN,Spinal epidural haemorrhage,5,43.88,16.47,116.91,43.87,167.58,True,"ASPIRIN was reported with 'Spinal epidural haemorrhage' in 5 cases. This combination occurs 43.88x more often than expected (95% CI: 16.47-116.91, entirely above 1, meaning the result is statistically significant). PRR=43.87 (≥2 threshold met), chi2=167.58 (≥4 threshold met)."
PREDNISONE,Pulmonary nocardiosis,19,11.82,7.33,19.06,11.82,166.62,True,"PREDNISONE was reported with 'Pulmonary nocardiosis' in 19 cases. This combination occurs 11.82x more often than expected (95% CI: 7.33-19.06, entirely above 1, meaning the result is statistically significant). PRR=11.82 (≥2 threshold met), chi2=166.62 (≥4 threshold met)."
PREDNISONE,Eosinophilic colitis,6,42.2,16.04,111.04,42.2,165.13,True,"PREDNISONE was reported with 'Eosinophilic colitis' in 6 cases. This combination occurs 42.2x more often than expected (95% CI: 16.04-111.04, entirely above 1, meaning the result is statistically significant). PRR=42.2 (≥2 threshold met), chi2=165.13 (≥4 threshold met)."
DUPIXENT,Pemphigoid,47,5.53,4.12,7.42,5.53,165.04,True,"DUPIXENT was reported with 'Pemphigoid' in 47 cases. This combination occurs 5.53x more often than expected (95% CI: 4.12-7.42, entirely above 1, meaning the result is statistically significant). PRR=5.53 (≥2 threshold met), chi2=165.04 (≥4 threshold met)."
METHOTREXATE,Uveitis,50,5.22,3.93,6.92,5.21,164.41,True,"METHOTREXATE was reported with 'Uveitis' in 50 cases. This combination occurs 5.22x more often than expected (95% CI: 3.93-6.92, entirely above 1, meaning the result is statistically significant). PRR=5.21 (≥2 threshold met), chi2=164.41 (≥4 threshold met)."
ASPIRIN,Nasal oedema,47,5.41,4.05,7.24,5.41,163.87,True,"ASPIRIN was reported with 'Nasal oedema' in 47 cases. This combination occurs 5.41x more often than expected (95% CI: 4.05-7.24, entirely above 1, meaning the result is statistically significant). PRR=5.41 (≥2 threshold met), chi2=163.87 (≥4 threshold met)."
ASPIRIN,Lipoprotein (a) increased,15,13.57,8.03,22.95,13.57,162.11,True,"ASPIRIN was reported with 'Lipoprotein (a) increased' in 15 cases. This combination occurs 13.57x more often than expected (95% CI: 8.03-22.95, entirely above 1, meaning the result is statistically significant). PRR=13.57 (≥2 threshold met), chi2=162.11 (≥4 threshold met)."
PREDNISONE,Rebound effect,50,5.17,3.89,6.87,5.17,159.0,True,"PREDNISONE was reported with 'Rebound effect' in 50 cases. This combination occurs 5.17x more often than expected (95% CI: 3.89-6.87, entirely above 1, meaning the result is statistically significant). PRR=5.17 (≥2 threshold met), chi2=159.0 (≥4 threshold met)."
RITUXIMAB,Progressive multifocal leukoencephalopathy,34,6.74,4.78,9.52,6.74,158.12,True,"RITUXIMAB was reported with 'Progressive multifocal leukoencephalopathy' in 34 cases. This combination occurs 6.74x more often than expected (95% CI: 4.78-9.52, entirely above 1, meaning the result is statistically significant). PRR=6.74 (≥2 threshold met), chi2=158.12 (≥4 threshold met)."
METHOTREXATE,Hemianopia homonymous,11,17.99,9.62,33.65,17.99,157.28,True,"METHOTREXATE was reported with 'Hemianopia homonymous' in 11 cases. This combination occurs 17.99x more often than expected (95% CI: 9.62-33.65, entirely above 1, meaning the result is statistically significant). PRR=17.99 (≥2 threshold met), chi2=157.28 (≥4 threshold met)."
RITUXIMAB,Immunoglobulin G4 related disease,9,22.39,11.04,45.38,22.38,157.18,True,"RITUXIMAB was reported with 'Immunoglobulin G4 related disease' in 9 cases. This combination occurs 22.39x more often than expected (95% CI: 11.04-45.38, entirely above 1, meaning the result is statistically significant). PRR=22.38 (≥2 threshold met), chi2=157.18 (≥4 threshold met)."
ACETAMINOPHEN,Alcoholic coma,10,20.76,10.53,40.94,20.76,156.72,True,"ACETAMINOPHEN was reported with 'Alcoholic coma' in 10 cases. This combination occurs 20.76x more often than expected (95% CI: 10.53-40.94, entirely above 1, meaning the result is statistically significant). PRR=20.76 (≥2 threshold met), chi2=156.72 (≥4 threshold met)."
DUPIXENT,Chronic rhinosinusitis with nasal polyps,9,23.29,11.26,48.16,23.29,155.21,True,"DUPIXENT was reported with 'Chronic rhinosinusitis with nasal polyps' in 9 cases. This combination occurs 23.29x more often than expected (95% CI: 11.26-48.16, entirely above 1, meaning the result is statistically significant). PRR=23.29 (≥2 threshold met), chi2=155.21 (≥4 threshold met)."
TYMLOS,Nocturia,49,5.04,3.8,6.7,5.04,154.73,True,"TYMLOS was reported with 'Nocturia' in 49 cases. This combination occurs 5.04x more often than expected (95% CI: 3.8-6.7, entirely above 1, meaning the result is statistically significant). PRR=5.04 (≥2 threshold met), chi2=154.73 (≥4 threshold met)."
PREDNISONE,Drug effective for unapproved indication,70,4.06,3.19,5.16,4.06,154.36,True,"PREDNISONE was reported with 'Drug effective for unapproved indication' in 70 cases. This combination occurs 4.06x more often than expected (95% CI: 3.19-5.16, entirely above 1, meaning the result is statistically significant). PRR=4.06 (≥2 threshold met), chi2=154.36 (≥4 threshold met)."
INFLIXIMAB,Ear infection bacterial,7,27.03,12.27,59.56,27.03,154.27,True,"INFLIXIMAB was reported with 'Ear infection bacterial' in 7 cases. This combination occurs 27.03x more often than expected (95% CI: 12.27-59.56, entirely above 1, meaning the result is statistically significant). PRR=27.03 (≥2 threshold met), chi2=154.27 (≥4 threshold met)."
ASPIRIN,Premature baby,38,6.03,4.36,8.33,6.02,153.95,True,"ASPIRIN was reported with 'Premature baby' in 38 cases. This combination occurs 6.03x more often than expected (95% CI: 4.36-8.33, entirely above 1, meaning the result is statistically significant). PRR=6.02 (≥2 threshold met), chi2=153.95 (≥4 threshold met)."
TYMLOS,Musculoskeletal discomfort,52,4.83,3.67,6.35,4.82,153.86,True,"TYMLOS was reported with 'Musculoskeletal discomfort' in 52 cases. This combination occurs 4.83x more often than expected (95% CI: 3.67-6.35, entirely above 1, meaning the result is statistically significant). PRR=4.82 (≥2 threshold met), chi2=153.86 (≥4 threshold met)."
ASPIRIN,Stress ulcer,9,21.06,10.55,42.05,21.06,153.53,True,"ASPIRIN was reported with 'Stress ulcer' in 9 cases. This combination occurs 21.06x more often than expected (95% CI: 10.55-42.05, entirely above 1, meaning the result is statistically significant). PRR=21.06 (≥2 threshold met), chi2=153.53 (≥4 threshold met)."
INFLIXIMAB,Drug specific antibody,14,13.65,7.94,23.47,13.65,153.45,True,"INFLIXIMAB was reported with 'Drug specific antibody' in 14 cases. This combination occurs 13.65x more often than expected (95% CI: 7.94-23.47, entirely above 1, meaning the result is statistically significant). PRR=13.65 (≥2 threshold met), chi2=153.45 (≥4 threshold met)."
PREDNISONE,Steroid diabetes,28,7.78,5.29,11.45,7.78,152.51,True,"PREDNISONE was reported with 'Steroid diabetes' in 28 cases. This combination occurs 7.78x more often than expected (95% CI: 5.29-11.45, entirely above 1, meaning the result is statistically significant). PRR=7.78 (≥2 threshold met), chi2=152.51 (≥4 threshold met)."
TYMLOS,Coccydynia,13,14.48,8.24,25.42,14.47,152.06,True,"TYMLOS was reported with 'Coccydynia' in 13 cases. This combination occurs 14.48x more often than expected (95% CI: 8.24-25.42, entirely above 1, meaning the result is statistically significant). PRR=14.47 (≥2 threshold met), chi2=152.06 (≥4 threshold met)."
INFLIXIMAB,Fistula discharge,9,20.61,10.37,40.96,20.61,151.99,True,"INFLIXIMAB was reported with 'Fistula discharge' in 9 cases. This combination occurs 20.61x more often than expected (95% CI: 10.37-40.96, entirely above 1, meaning the result is statistically significant). PRR=20.61 (≥2 threshold met), chi2=151.99 (≥4 threshold met)."
RITUXIMAB,Myelin oligodendrocyte glycoprotein antibody-associated disease,7,27.96,12.37,63.22,27.96,150.14,True,"RITUXIMAB was reported with 'Myelin oligodendrocyte glycoprotein antibody-associated disease' in 7 cases. This combination occurs 27.96x more often than expected (95% CI: 12.37-63.22, entirely above 1, meaning the result is statistically significant). PRR=27.96 (≥2 threshold met), chi2=150.14 (≥4 threshold met)."
DUPIXENT,Skin hyperpigmentation,34,6.53,4.62,9.24,6.53,149.3,True,"DUPIXENT was reported with 'Skin hyperpigmentation' in 34 cases. This combination occurs 6.53x more often than expected (95% CI: 4.62-9.24, entirely above 1, meaning the result is statistically significant). PRR=6.53 (≥2 threshold met), chi2=149.3 (≥4 threshold met)."
PREDNISONE,Disseminated cryptococcosis,19,10.66,6.63,17.14,10.66,148.93,True,"PREDNISONE was reported with 'Disseminated cryptococcosis' in 19 cases. This combination occurs 10.66x more often than expected (95% CI: 6.63-17.14, entirely above 1, meaning the result is statistically significant). PRR=10.66 (≥2 threshold met), chi2=148.93 (≥4 threshold met)."
TYMLOS,Medial tibial stress syndrome,5,37.11,14.29,96.38,37.11,148.23,True,"TYMLOS was reported with 'Medial tibial stress syndrome' in 5 cases. This combination occurs 37.11x more often than expected (95% CI: 14.29-96.38, entirely above 1, meaning the result is statistically significant). PRR=37.11 (≥2 threshold met), chi2=148.23 (≥4 threshold met)."
PREDNISONE,Pneumocystis jirovecii pneumonia,62,4.25,3.3,5.49,4.25,147.42,True,"PREDNISONE was reported with 'Pneumocystis jirovecii pneumonia' in 62 cases. This combination occurs 4.25x more often than expected (95% CI: 3.3-5.49, entirely above 1, meaning the result is statistically significant). PRR=4.25 (≥2 threshold met), chi2=147.42 (≥4 threshold met)."
DUPIXENT,Perioral dermatitis,15,13.05,7.62,22.37,13.05,147.37,True,"DUPIXENT was reported with 'Perioral dermatitis' in 15 cases. This combination occurs 13.05x more often than expected (95% CI: 7.62-22.37, entirely above 1, meaning the result is statistically significant). PRR=13.05 (≥2 threshold met), chi2=147.37 (≥4 threshold met)."
PREDNISONE,Kidney transplant rejection,27,7.77,5.24,11.5,7.76,146.64,True,"PREDNISONE was reported with 'Kidney transplant rejection' in 27 cases. This combination occurs 7.77x more often than expected (95% CI: 5.24-11.5, entirely above 1, meaning the result is statistically significant). PRR=7.76 (≥2 threshold met), chi2=146.64 (≥4 threshold met)."
METHOTREXATE,Posterior reversible encephalopathy syndrome,40,5.62,4.1,7.71,5.62,146.28,True,"METHOTREXATE was reported with 'Posterior reversible encephalopathy syndrome' in 40 cases. This combination occurs 5.62x more often than expected (95% CI: 4.1-7.71, entirely above 1, meaning the result is statistically significant). PRR=5.62 (≥2 threshold met), chi2=146.28 (≥4 threshold met)."
TYMLOS,Vertigo positional,13,13.93,7.94,24.45,13.93,145.89,True,"TYMLOS was reported with 'Vertigo positional' in 13 cases. This combination occurs 13.93x more often than expected (95% CI: 7.94-24.45, entirely above 1, meaning the result is statistically significant). PRR=13.93 (≥2 threshold met), chi2=145.89 (≥4 threshold met)."
METHOTREXATE,Colitis erosive,9,20.38,10.15,40.93,20.38,145.7,True,"METHOTREXATE was reported with 'Colitis erosive' in 9 cases. This combination occurs 20.38x more often than expected (95% CI: 10.15-40.93, entirely above 1, meaning the result is statistically significant). PRR=20.38 (≥2 threshold met), chi2=145.7 (≥4 threshold met)."
PREDNISONE,Arterial haemorrhage,25,8.19,5.44,12.34,8.19,144.9,True,"PREDNISONE was reported with 'Arterial haemorrhage' in 25 cases. This combination occurs 8.19x more often than expected (95% CI: 5.44-12.34, entirely above 1, meaning the result is statistically significant). PRR=8.19 (≥2 threshold met), chi2=144.9 (≥4 threshold met)."
RITUXIMAB,Humoral immune defect,6,31.64,12.98,77.13,31.64,143.56,True,"RITUXIMAB was reported with 'Humoral immune defect' in 6 cases. This combination occurs 31.64x more often than expected (95% CI: 12.98-77.13, entirely above 1, meaning the result is statistically significant). PRR=31.64 (≥2 threshold met), chi2=143.56 (≥4 threshold met)."
INFLIXIMAB,Rectal abscess,9,19.48,9.82,38.64,19.47,143.53,True,"INFLIXIMAB was reported with 'Rectal abscess' in 9 cases. This combination occurs 19.48x more often than expected (95% CI: 9.82-38.64, entirely above 1, meaning the result is statistically significant). PRR=19.47 (≥2 threshold met), chi2=143.53 (≥4 threshold met)."
ASPIRIN,Spinal shock,5,36.56,13.95,95.83,36.56,143.12,True,"ASPIRIN was reported with 'Spinal shock' in 5 cases. This combination occurs 36.56x more often than expected (95% CI: 13.95-95.83, entirely above 1, meaning the result is statistically significant). PRR=36.56 (≥2 threshold met), chi2=143.12 (≥4 threshold met)."
METHOTREXATE,Neurotoxicity,45,5.09,3.78,6.86,5.09,143.02,True,"METHOTREXATE was reported with 'Neurotoxicity' in 45 cases. This combination occurs 5.09x more often than expected (95% CI: 3.78-6.86, entirely above 1, meaning the result is statistically significant). PRR=5.09 (≥2 threshold met), chi2=143.02 (≥4 threshold met)."
DUPIXENT,Injection site nodule,30,6.94,4.79,10.05,6.94,142.48,True,"DUPIXENT was reported with 'Injection site nodule' in 30 cases. This combination occurs 6.94x more often than expected (95% CI: 4.79-10.05, entirely above 1, meaning the result is statistically significant). PRR=6.94 (≥2 threshold met), chi2=142.48 (≥4 threshold met)."
TYMLOS,Incorrect product administration duration,64,4.02,3.14,5.15,4.02,142.34,True,"TYMLOS was reported with 'Incorrect product administration duration' in 64 cases. This combination occurs 4.02x more often than expected (95% CI: 3.14-5.15, entirely above 1, meaning the result is statistically significant). PRR=4.02 (≥2 threshold met), chi2=142.34 (≥4 threshold met)."
METHOTREXATE,Bone fissure,6,30.46,12.64,73.36,30.45,141.62,True,"METHOTREXATE was reported with 'Bone fissure' in 6 cases. This combination occurs 30.46x more often than expected (95% CI: 12.64-73.36, entirely above 1, meaning the result is statistically significant). PRR=30.45 (≥2 threshold met), chi2=141.62 (≥4 threshold met)."
METHOTREXATE,Gastrointestinal fistula,10,17.74,9.2,34.18,17.73,140.93,True,"METHOTREXATE was reported with 'Gastrointestinal fistula' in 10 cases. This combination occurs 17.74x more often than expected (95% CI: 9.2-34.18, entirely above 1, meaning the result is statistically significant). PRR=17.73 (≥2 threshold met), chi2=140.93 (≥4 threshold met)."
PREDNISONE,Therapeutic reaction time decreased,42,5.37,3.93,7.32,5.36,140.85,True,"PREDNISONE was reported with 'Therapeutic reaction time decreased' in 42 cases. This combination occurs 5.37x more often than expected (95% CI: 3.93-7.32, entirely above 1, meaning the result is statistically significant). PRR=5.36 (≥2 threshold met), chi2=140.85 (≥4 threshold met)."
INFLIXIMAB,Blood pressure diastolic increased,32,6.37,4.48,9.07,6.37,140.37,True,"INFLIXIMAB was reported with 'Blood pressure diastolic increased' in 32 cases. This combination occurs 6.37x more often than expected (95% CI: 4.48-9.07, entirely above 1, meaning the result is statistically significant). PRR=6.37 (≥2 threshold met), chi2=140.37 (≥4 threshold met)."
FOLIC ACID,Stress ulcer,9,19.39,9.71,38.72,19.39,140.14,True,"FOLIC ACID was reported with 'Stress ulcer' in 9 cases. This combination occurs 19.39x more often than expected (95% CI: 9.71-38.72, entirely above 1, meaning the result is statistically significant). PRR=19.39 (≥2 threshold met), chi2=140.14 (≥4 threshold met)."
PREDNISONE,Squamous cell carcinoma of the cervix,11,17.05,8.96,32.45,17.05,140.05,True,"PREDNISONE was reported with 'Squamous cell carcinoma of the cervix' in 11 cases. This combination occurs 17.05x more often than expected (95% CI: 8.96-32.45, entirely above 1, meaning the result is statistically significant). PRR=17.05 (≥2 threshold met), chi2=140.05 (≥4 threshold met)."
PREDNISONE,Disseminated strongyloidiasis,9,21.1,10.22,43.56,21.1,140.02,True,"PREDNISONE was reported with 'Disseminated strongyloidiasis' in 9 cases. This combination occurs 21.1x more often than expected (95% CI: 10.22-43.56, entirely above 1, meaning the result is statistically significant). PRR=21.1 (≥2 threshold met), chi2=140.02 (≥4 threshold met)."
DUPIXENT,Exfoliative rash,17,11.07,6.71,18.28,11.07,139.96,True,"DUPIXENT was reported with 'Exfoliative rash' in 17 cases. This combination occurs 11.07x more often than expected (95% CI: 6.71-18.28, entirely above 1, meaning the result is statistically significant). PRR=11.07 (≥2 threshold met), chi2=139.96 (≥4 threshold met)."
PREDNISONE,Drug level below therapeutic,42,5.34,3.91,7.28,5.33,139.75,True,"PREDNISONE was reported with 'Drug level below therapeutic' in 42 cases. This combination occurs 5.34x more often than expected (95% CI: 3.91-7.28, entirely above 1, meaning the result is statistically significant). PRR=5.33 (≥2 threshold met), chi2=139.75 (≥4 threshold met)."
ASPIRIN,Myocardial infarction,103,3.06,2.51,3.71,3.05,139.69,True,"ASPIRIN was reported with 'Myocardial infarction' in 103 cases. This combination occurs 3.06x more often than expected (95% CI: 2.51-3.71, entirely above 1, meaning the result is statistically significant). PRR=3.05 (≥2 threshold met), chi2=139.69 (≥4 threshold met)."
METHOTREXATE,Acute graft versus host disease in skin,21,8.88,5.72,13.8,8.88,138.54,True,"METHOTREXATE was reported with 'Acute graft versus host disease in skin' in 21 cases. This combination occurs 8.88x more often than expected (95% CI: 5.72-13.8, entirely above 1, meaning the result is statistically significant). PRR=8.88 (≥2 threshold met), chi2=138.54 (≥4 threshold met)."
INFLIXIMAB,Thymus disorder,5,33.95,13.14,87.71,33.95,136.38,True,"INFLIXIMAB was reported with 'Thymus disorder' in 5 cases. This combination occurs 33.95x more often than expected (95% CI: 13.14-87.71, entirely above 1, meaning the result is statistically significant). PRR=33.95 (≥2 threshold met), chi2=136.38 (≥4 threshold met)."
