drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged,rationale
DUPIXENT,Product use in unapproved indication,2697,5.74,5.52,5.97,5.61,9720.53,True,"DUPIXENT was reported with 'Product use in unapproved indication' in 2697 cases. This combination occurs 5.74x more often than expected (95% CI: 5.52-5.97, entirely above 1, meaning the result is statistically significant). PRR=5.61 (≥2 threshold met), chi2=9720.53 (≥4 threshold met)."
TYMLOS,Injection site bruising,612,19.56,17.99,21.26,19.32,9703.17,True,"TYMLOS was reported with 'Injection site bruising' in 612 cases. This combination occurs 19.56x more often than expected (95% CI: 17.99-21.26, entirely above 1, meaning the result is statistically significant). PRR=19.32 (≥2 threshold met), chi2=9703.17 (≥4 threshold met)."
DUPIXENT,Product dose omission in error,873,14.13,13.16,15.17,14.01,9237.92,True,"DUPIXENT was reported with 'Product dose omission in error' in 873 cases. This combination occurs 14.13x more often than expected (95% CI: 13.16-15.17, entirely above 1, meaning the result is statistically significant). PRR=14.01 (≥2 threshold met), chi2=9237.92 (≥4 threshold met)."
DUPIXENT,Skin exfoliation,1027,11.81,11.06,12.6,11.69,8984.95,True,"DUPIXENT was reported with 'Skin exfoliation' in 1027 cases. This combination occurs 11.81x more often than expected (95% CI: 11.06-12.6, entirely above 1, meaning the result is statistically significant). PRR=11.69 (≥2 threshold met), chi2=8984.95 (≥4 threshold met)."
DUPIXENT,Rash erythematous,898,13.2,12.31,14.15,13.09,8853.72,True,"DUPIXENT was reported with 'Rash erythematous' in 898 cases. This combination occurs 13.2x more often than expected (95% CI: 12.31-14.15, entirely above 1, meaning the result is statistically significant). PRR=13.09 (≥2 threshold met), chi2=8853.72 (≥4 threshold met)."
DUPIXENT,Product dose omission issue,2839,4.97,4.79,5.17,4.86,8342.48,True,"DUPIXENT was reported with 'Product dose omission issue' in 2839 cases. This combination occurs 4.97x more often than expected (95% CI: 4.79-5.17, entirely above 1, meaning the result is statistically significant). PRR=4.86 (≥2 threshold met), chi2=8342.48 (≥4 threshold met)."
DUPIXENT,Eye pruritus,573,17.78,16.26,19.43,17.68,7644.78,True,"DUPIXENT was reported with 'Eye pruritus' in 573 cases. This combination occurs 17.78x more often than expected (95% CI: 16.26-19.43, entirely above 1, meaning the result is statistically significant). PRR=17.68 (≥2 threshold met), chi2=7644.78 (≥4 threshold met)."
TYMLOS,Dizziness,1958,5.97,5.7,6.25,5.76,7548.48,True,"TYMLOS was reported with 'Dizziness' in 1958 cases. This combination occurs 5.97x more often than expected (95% CI: 5.7-6.25, entirely above 1, meaning the result is statistically significant). PRR=5.76 (≥2 threshold met), chi2=7548.48 (≥4 threshold met)."
TYMLOS,Product quality issue,779,11.91,11.07,12.81,11.73,7236.24,True,"TYMLOS was reported with 'Product quality issue' in 779 cases. This combination occurs 11.91x more often than expected (95% CI: 11.07-12.81, entirely above 1, meaning the result is statistically significant). PRR=11.73 (≥2 threshold met), chi2=7236.24 (≥4 threshold met)."
DUPIXENT,Rash,2771,4.53,4.36,4.71,4.43,7094.24,True,"DUPIXENT was reported with 'Rash' in 2771 cases. This combination occurs 4.53x more often than expected (95% CI: 4.36-4.71, entirely above 1, meaning the result is statistically significant). PRR=4.43 (≥2 threshold met), chi2=7094.24 (≥4 threshold met)."
DUPIXENT,Injection site erythema,742,11.59,10.74,12.51,11.51,6379.8,True,"DUPIXENT was reported with 'Injection site erythema' in 742 cases. This combination occurs 11.59x more often than expected (95% CI: 10.74-12.51, entirely above 1, meaning the result is statistically significant). PRR=11.51 (≥2 threshold met), chi2=6379.8 (≥4 threshold met)."
DUPIXENT,Product preparation error,262,33.2,28.86,38.19,33.11,6104.27,True,"DUPIXENT was reported with 'Product preparation error' in 262 cases. This combination occurs 33.2x more often than expected (95% CI: 28.86-38.19, entirely above 1, meaning the result is statistically significant). PRR=33.11 (≥2 threshold met), chi2=6104.27 (≥4 threshold met)."
