original_name,rxcui,normalized_name,status,match_type,confidence,stripped_name
CALCIUM,1895,calcium,MAPPED,EXACT,100.0,CALCIUM
SERTRALINE,36437,sertraline,MAPPED,EXACT,100.0,SERTRALINE
REVLIMID,342369,lenalidomide,MAPPED,EXACT,100.0,REVLIMID
CORTICOTROPIN,376,corticotropin,MAPPED,EXACT,100.0,CORTICOTROPIN
VITAMIN C,1151,ascorbic acid,MAPPED,EXACT,100.0,VITAMIN C
CHOLECALCIFEROL,2418,cholecalciferol,MAPPED,EXACT,100.0,CHOLECALCIFEROL
KEYTRUDA,1547545,pembrolizumab,MAPPED,EXACT,100.0,KEYTRUDA
TYVASO DPI,,,NEEDS_REVIEW,UNMAPPED,0.0,TYVASO DPI
METOPROLOL,6918,metoprolol,MAPPED,EXACT,100.0,METOPROLOL
ALLOPURINOL,519,allopurinol,MAPPED,EXACT,100.0,ALLOPURINOL
VITAMIN B12,11248,vitamin B12,MAPPED,EXACT,100.0,VITAMIN B12
RAMIPRIL,35296,ramipril,MAPPED,EXACT,100.0,RAMIPRIL
LEVOTHYROXINE SODIUM,10582,levothyroxine,MAPPED,EXACT,100.0,LEVOTHYROXINE SODIUM
GENOTROPIN,61148,somatropin,MAPPED,EXACT,100.0,GENOTROPIN
VENETOCLAX,1747556,venetoclax,MAPPED,EXACT,100.0,VENETOCLAX
TRULICITY,1551291,dulaglutide,MAPPED,EXACT,100.0,TRULICITY
XOLAIR,302379,omalizumab,MAPPED,EXACT,100.0,XOLAIR
SYNTHROID,10582,levothyroxine,MAPPED,EXACT,100.0,SYNTHROID
MAGNESIUM,6574,magnesium,MAPPED,EXACT,100.0,MAGNESIUM
QUETIAPINE,51272,quetiapine,MAPPED,EXACT,100.0,QUETIAPINE
OXYCODONE,7804,oxycodone,MAPPED,EXACT,100.0,OXYCODONE
KESIMPTA,712566,ofatumumab,MAPPED,EXACT,100.0,KESIMPTA
ADAPALENE,60223,adapalene,MAPPED,EXACT,100.0,ADAPALENE
VITAMIN D,11253,vitamin D,MAPPED,EXACT,100.0,VITAMIN D
POTASSIUM CHLORIDE,8591,potassium chloride,MAPPED,EXACT,100.0,POTASSIUM CHLORIDE
JARDIANCE,1545653,empagliflozin,MAPPED,EXACT,100.0,JARDIANCE
PEMBROLIZUMAB,1547545,pembrolizumab,MAPPED,EXACT,100.0,PEMBROLIZUMAB
CLONAZEPAM,2598,clonazepam,MAPPED,EXACT,100.0,CLONAZEPAM
LANSOPRAZOLE,17128,lansoprazole,MAPPED,EXACT,100.0,LANSOPRAZOLE
EZETIMIBE,341248,ezetimibe,MAPPED,EXACT,100.0,EZETIMIBE
HYDROCHLOROTHIAZIDE,5487,hydrochlorothiazide,MAPPED,EXACT,100.0,HYDROCHLOROTHIAZIDE
CYCLOSPORINE,3008,cyclosporine,MAPPED,EXACT,100.0,CYCLOSPORINE
LORAZEPAM,6470,lorazepam,MAPPED,EXACT,100.0,LORAZEPAM
BISOPROLOL,19484,bisoprolol,MAPPED,EXACT,100.0,BISOPROLOL
OXALIPLATIN,32592,oxaliplatin,MAPPED,EXACT,100.0,OXALIPLATIN
AMLODIPINE BESYLATE,17767,amlodipine,MAPPED,EXACT,100.0,AMLODIPINE BESYLATE
OLANZAPINE,61381,olanzapine,MAPPED,EXACT,100.0,OLANZAPINE
POMALYST,1369713,pomalidomide,MAPPED,EXACT,100.0,POMALYST
BIMZELX,2668041,bimekizumab,MAPPED,EXACT,100.0,BIMZELX
FINASTERIDE,25025,finasteride,MAPPED,EXACT,100.0,FINASTERIDE
ACYCLOVIR,281,acyclovir,MAPPED,EXACT,100.0,ACYCLOVIR
REPATHA,1665684,evolocumab,MAPPED,EXACT,100.0,REPATHA
FENFLURAMINE,4328,fenfluramine,MAPPED,EXACT,100.0,FENFLURAMINE
ATORVASTATIN CALCIUM,83367,atorvastatin,MAPPED,EXACT,100.0,ATORVASTATIN CALCIUM
DAPAGLIFLOZIN,1488564,dapagliflozin,MAPPED,EXACT,100.0,DAPAGLIFLOZIN
KISQALI,1873916,ribociclib,MAPPED,EXACT,100.0,KISQALI
LEVETIRACETAM,114477,levetiracetam,MAPPED,EXACT,100.0,LEVETIRACETAM
HUMAN IMMUNOGLOBULIN G,5666,immunoglobulin G,MAPPED,EXACT,100.0,HUMAN IMMUNOGLOBULIN G
OXYGEN,7806,oxygen,MAPPED,EXACT,100.0,OXYGEN
DIPHENHYDRAMINE,3498,diphenhydramine,MAPPED,EXACT,100.0,DIPHENHYDRAMINE
TRAZODONE,10737,trazodone,MAPPED,EXACT,100.0,TRAZODONE
METFORMIN HYDROCHLORIDE,6809,metformin,MAPPED,EXACT,100.0,METFORMIN HYDROCHLORIDE
LAMOTRIGINE,28439,lamotrigine,MAPPED,EXACT,100.0,LAMOTRIGINE
FILSPARI,2630535,sparsentan,MAPPED,EXACT,100.0,FILSPARI
BEVACIZUMAB,253337,bevacizumab,MAPPED,EXACT,100.0,BEVACIZUMAB
BUDESONIDE,19831,budesonide,MAPPED,EXACT,100.0,BUDESONIDE
FLUOROURACIL,4492,fluorouracil,MAPPED,EXACT,100.0,FLUOROURACIL
METOPROLOL SUCCINATE,6918,metoprolol,MAPPED,EXACT,100.0,METOPROLOL SUCCINATE
